"Študenti terciarnega izobraževanja po kohezijski regiji stalnega bivališèa, vrsti programa, naèinu študija in spolu, Slovenija, letno"

"VRSTA IZOBRAŽEVANJA";"NAÈIN ŠTUDIJA";"SPOL";"KOHEZIJSKA REGIJA";"2009/10";"2010/11";"2011/12";"2012/13";"2013/14";"2014/15";"2015/16";"2016/17";"2017/18";"2018/19";"2019/20";"2020/21"
"Specialistièno";"Redni";"Ženske";"Zahodna Slovenija";7;-;-;-;-;-;-;-;-;-;-;-
"Specialistièno";"Izredni";"Moški";"Vzhodna Slovenija";51;-;-;-;-;-;-;-;-;-;-;-
"Specialistièno";"Izredni";"Moški";"Zahodna Slovenija";23;-;-;-;-;-;-;-;-;-;-;-
"Specialistièno";"Izredni";"Ženske";"Vzhodna Slovenija";21;-;-;-;-;-;-;-;-;-;-;-
"Specialistièno";"Izredni";"Ženske";"Zahodna Slovenija";31;-;-;-;-;-;-;-;-;-;-;-
"Magistrsko (prejšnje)";"Redni";"Moški";"Vzhodna Slovenija";90;1;-;-;-;-;-;-;-;-;-;-
"Magistrsko (prejšnje)";"Redni";"Moški";"Zahodna Slovenija";107;-;-;-;-;-;-;-;-;-;-;-
"Magistrsko (prejšnje)";"Redni";"Ženske";"Vzhodna Slovenija";117;-;-;-;-;-;-;-;-;-;-;-
"Magistrsko (prejšnje)";"Redni";"Ženske";"Zahodna Slovenija";167;1;-;-;-;-;-;-;-;-;-;-
"Magistrsko (prejšnje)";"Izredni";"Moški";"Vzhodna Slovenija";662;14;-;-;-;-;-;-;-;-;-;-
"Magistrsko (prejšnje)";"Izredni";"Moški";"Zahodna Slovenija";707;10;-;-;1;-;-;-;-;-;-;-
"Magistrsko (prejšnje)";"Izredni";"Ženske";"Vzhodna Slovenija";986;23;1;2;-;-;-;-;-;-;-;-
"Magistrsko (prejšnje)";"Izredni";"Ženske";"Zahodna Slovenija";931;28;-;-;-;-;-;-;-;-;-;-
"Doktorsko (prejšnje)";"Redni";"Moški";"Vzhodna Slovenija";69;47;24;1;-;-;-;-;-;-;-;-
"Doktorsko (prejšnje)";"Redni";"Moški";"Zahodna Slovenija";103;63;34;1;-;-;-;-;-;-;-;-
"Doktorsko (prejšnje)";"Redni";"Ženske";"Vzhodna Slovenija";43;54;38;2;-;-;-;-;-;-;-;-
"Doktorsko (prejšnje)";"Redni";"Ženske";"Zahodna Slovenija";98;80;51;8;-;-;-;-;-;-;-;-
"Doktorsko (prejšnje)";"Izredni";"Moški";"Vzhodna Slovenija";254;189;120;32;-;-;-;-;-;-;-;-
"Doktorsko (prejšnje)";"Izredni";"Moški";"Zahodna Slovenija";254;222;116;33;2;-;-;-;-;-;-;-
"Doktorsko (prejšnje)";"Izredni";"Ženske";"Vzhodna Slovenija";158;140;96;31;1;-;-;-;-;-;-;-
"Doktorsko (prejšnje)";"Izredni";"Ženske";"Zahodna Slovenija";229;181;115;57;3;-;-;-;-;-;-;-
"Doktorsko (3. bolonjska stopnja)";"Redni";"Moški";"Vzhodna Slovenija";65;93;107;113;107;100;98;85;101;82;81;80
"Doktorsko (3. bolonjska stopnja)";"Redni";"Moški";"Zahodna Slovenija";127;178;185;242;229;211;196;176;190;162;165;146
"Doktorsko (3. bolonjska stopnja)";"Redni";"Ženske";"Vzhodna Slovenija";24;81;87;88;95;98;100;77;82;73;71;70
"Doktorsko (3. bolonjska stopnja)";"Redni";"Ženske";"Zahodna Slovenija";60;170;189;206;196;206;175;157;192;173;154;144
"Doktorsko (3. bolonjska stopnja)";"Izredni";"Moški";"Vzhodna Slovenija";344;435;545;508;442;370;299;371;404;410;437;465
"Doktorsko (3. bolonjska stopnja)";"Izredni";"Moški";"Zahodna Slovenija";329;448;548;615;521;412;373;433;464;485;523;565
"Doktorsko (3. bolonjska stopnja)";"Izredni";"Ženske";"Vzhodna Slovenija";479;575;653;612;484;415;361;427;442;460;504;531
"Doktorsko (3. bolonjska stopnja)";"Izredni";"Ženske";"Zahodna Slovenija";506;658;736;781;687;607;502;604;672;657;705;777
