"Študenti terciarnega izobraževanja po podroèju izobraževanja (KLASIUS-P-16, 1. raven), spolu, naèinu študija in vrsti izobraževanja, Slovenija, letno"

"VRSTA IZOBRAŽEVANJA";"NAÈIN ŠTUDIJA";"PODROÈJE IZOBRAŽEVANJA (KLASIUS-P-16)";"2017/18 Spol - SKUPAJ";"2017/18 Moški";"2017/18 Ženske";"2018/19 Spol - SKUPAJ";"2018/19 Moški";"2018/19 Ženske";"2019/20 Spol - SKUPAJ";"2019/20 Moški";"2019/20 Ženske";"2020/21 Spol - SKUPAJ";"2020/21 Moški";"2020/21 Ženske"
"Višje strokovno";"Izredni";"06 Informacijske in komunikacijske tehnologije (IKT)";410.0;352.0;58.0;469.0;403.0;66.0;569.0;478.0;91.0;596.0;505.0;91.0
"Višje strokovno";"Izredni";"07 Tehnika, proizvodne tehnologije in gradbeništvo";1413.0;1216.0;197.0;1512.0;1316.0;196.0;1578.0;1365.0;213.0;1510.0;1303.0;207.0
"Višje strokovno";"Izredni";"08 Kmetijstvo, gozdarstvo, ribištvo in veterinarstvo";40.0;28.0;12.0;63.0;34.0;29.0;67.0;39.0;28.0;91.0;52.0;39.0
"Višje strokovno";"Izredni";"09 Zdravstvo in socialna varnost";189.0;29.0;160.0;197.0;34.0;163.0;208.0;34.0;174.0;218.0;38.0;180.0
"Višje strokovno";"Izredni";"10 Transport, varnost, gostinstvo in turizem, osebne storitve";1228.0;511.0;717.0;1331.0;612.0;719.0;1330.0;594.0;736.0;1220.0;491.0;729.0
"Visokošolsko strokovno (1. bolonjska stopnja)";"Redni";"Podroèje izobraževanja - SKUPAJ";12600.0;5902.0;6698.0;12382.0;5727.0;6655.0;12567.0;5889.0;6678.0;13670.0;6459.0;7211.0
"Visokošolsko strokovno (1. bolonjska stopnja)";"Redni";"01 Izobraževalne znanosti in izobraževanje uèiteljev";675.0;23.0;652.0;693.0;21.0;672.0;698.0;19.0;679.0;738.0;22.0;716.0
"Visokošolsko strokovno (1. bolonjska stopnja)";"Redni";"02 Umetnost in humanistika";549.0;154.0;395.0;596.0;166.0;430.0;602.0;171.0;431.0;673.0;184.0;489.0
"Visokošolsko strokovno (1. bolonjska stopnja)";"Redni";"03 Družbene vede, novinarstvo in informacijska znanost";158.0;107.0;51.0;113.0;91.0;22.0;92.0;75.0;17.0;121.0;103.0;18.0
"Visokošolsko strokovno (1. bolonjska stopnja)";"Redni";"04 Poslovne in upravne vede, pravo";2864.0;1119.0;1745.0;2780.0;1058.0;1722.0;2767.0;1084.0;1683.0;3090.0;1235.0;1855.0
"Visokošolsko strokovno (1. bolonjska stopnja)";"Redni";"05 Naravoslovje, matematika in statistika";127.0;83.0;44.0;123.0;89.0;34.0;130.0;87.0;43.0;134.0;94.0;40.0
"Visokošolsko strokovno (1. bolonjska stopnja)";"Redni";"06 Informacijske in komunikacijske tehnologije (IKT)";817.0;772.0;45.0;866.0;809.0;57.0;886.0;817.0;69.0;913.0;841.0;72.0
"Visokošolsko strokovno (1. bolonjska stopnja)";"Redni";"07 Tehnika, proizvodne tehnologije in gradbeništvo";2988.0;2365.0;623.0;2899.0;2317.0;582.0;3070.0;2447.0;623.0;3313.0;2657.0;656.0
"Visokošolsko strokovno (1. bolonjska stopnja)";"Redni";"08 Kmetijstvo, gozdarstvo, ribištvo in veterinarstvo";668.0;323.0;345.0;607.0;286.0;321.0;610.0;317.0;293.0;596.0;304.0;292.0
"Visokošolsko strokovno (1. bolonjska stopnja)";"Redni";"09 Zdravstvo in socialna varnost";2356.0;386.0;1970.0;2398.0;364.0;2034.0;2428.0;377.0;2051.0;2721.0;455.0;2266.0
"Visokošolsko strokovno (1. bolonjska stopnja)";"Redni";"10 Transport, varnost, gostinstvo in turizem, osebne storitve";1398.0;570.0;828.0;1307.0;526.0;781.0;1284.0;495.0;789.0;1371.0;564.0;807.0
